Process,Category,Metric,Timestamp,TimestampRaw,Value
Global,CPU Core Load,CPU 0 Load,0,1764659919091055,54144000.0
Global,CPU Core Load,CPU 0 Load,50578,1764659919141633,0.0
Global,CPU Core Load,CPU 0 Load,101026,1764659919192081,0.0
Global,CPU Core Load,CPU 0 Load,151535,1764659919242590,0.0
Global,CPU Core Load,CPU 0 Load,202192,1764659919293247,0.0
Global,CPU Core Load,CPU 0 Load,252820,1764659919343875,0.0
Global,CPU Core Load,CPU 0 Load,303418,1764659919394473,411840000.0
Global,CPU Core Load,CPU 0 Load,354407,1764659919445462,360960000.0
Global,CPU Core Load,CPU 0 Load,404847,1764659919495902,0.0
Global,CPU Core Load,CPU 0 Load,455281,1764659919546336,0.0
Global,CPU Core Load,CPU 0 Load,505748,1764659919596803,0.0
Global,CPU Core Load,CPU 0 Load,556187,1764659919647242,0.0
Global,CPU Core Load,CPU 0 Load,606538,1764659919697593,0.0
Global,CPU Core Load,CPU 0 Load,656811,1764659919747866,180480000.0
Global,CPU Core Load,CPU 0 Load,707154,1764659919798209,0.0
Global,CPU Core Load,CPU 0 Load,757571,1764659919848626,0.0
Global,CPU Core Load,CPU 0 Load,808002,1764659919899057,0.0
Global,CPU Core Load,CPU 0 Load,858431,1764659919949486,0.0
Global,CPU Core Load,CPU 0 Load,909502,1764659920000557,0.0
Global,CPU Core Load,CPU 0 Load,960219,1764659920051274,297792000.0
Global,CPU Core Load,CPU 0 Load,1010614,1764659920101669,0.0
Global,CPU Core Load,CPU 0 Load,1061052,1764659920152107,0.0
Global,CPU Core Load,CPU 0 Load,1111461,1764659920202516,0.0
Global,CPU Core Load,CPU 0 Load,1161839,1764659920252894,0.0
Global,CPU Core Load,CPU 0 Load,1212170,1764659920303225,0.0
Global,CPU Core Load,CPU 0 Load,1262531,1764659920353586,0.0
Global,CPU Core Load,CPU 0 Load,1312950,1764659920404005,0.0
Global,CPU Core Load,CPU 0 Load,1363402,1764659920454457,0.0
Global,CPU Core Load,CPU 0 Load,1413859,1764659920504914,0.0
Global,CPU Core Load,CPU 0 Load,1464301,1764659920555356,0.0
Global,CPU Core Load,CPU 0 Load,1514759,1764659920605814,0.0
Global,CPU Core Load,CPU 0 Load,1565226,1764659920656281,0.0
Global,CPU Core Load,CPU 0 Load,1615665,1764659920706720,0.0
Global,CPU Core Load,CPU 0 Load,1666083,1764659920757138,144384000.0
Global,CPU Core Load,CPU 0 Load,1716521,1764659920807576,0.0
Global,CPU Core Load,CPU 0 Load,1766993,1764659920858048,0.0
Global,CPU Core Load,CPU 0 Load,1817531,1764659920908586,144384000.0
Global,CPU Core Load,CPU 0 Load,1868024,1764659920959079,0.0
Global,CPU Core Load,CPU 0 Load,1918807,1764659921009862,0.0
Global,CPU Core Load,CPU 0 Load,1969305,1764659921060360,0.0
Global,CPU Core Load,CPU 0 Load,2019779,1764659921110834,0.0
Global,CPU Core Load,CPU 0 Load,2070331,1764659921161386,0.0
Global,CPU Core Load,CPU 0 Load,2120784,1764659921211839,0.0
Global,CPU Core Load,CPU 0 Load,2171232,1764659921262287,0.0
Global,CPU Core Load,CPU 0 Load,2221665,1764659921312720,0.0
Global,CPU Core Load,CPU 0 Load,2272095,1764659921363150,0.0
Global,CPU Core Load,CPU 0 Load,2322444,1764659921413499,0.0
Global,CPU Core Load,CPU 0 Load,2372756,1764659921463811,0.0
Global,CPU Core Load,CPU 0 Load,2423157,1764659921514212,144384000.0
Global,CPU Core Load,CPU 0 Load,2473713,1764659921564768,180480000.0
Global,CPU Core Load,CPU 0 Load,2524316,1764659921615371,0.0
Global,CPU Core Load,CPU 0 Load,2574886,1764659921665941,0.0
Global,CPU Core Load,CPU 0 Load,2625406,1764659921716461,0.0
Global,CPU Core Load,CPU 0 Load,2675912,1764659921766967,0.0
Global,CPU Core Load,CPU 0 Load,2726525,1764659921817580,0.0
Global,CPU Core Load,CPU 0 Load,2777100,1764659921868155,0.0
Global,CPU Core Load,CPU 0 Load,2827514,1764659921918569,0.0
Global,CPU Core Load,CPU 0 Load,2877889,1764659921968944,0.0
Global,CPU Core Load,CPU 0 Load,2928208,1764659922019263,0.0
Global,CPU Core Load,CPU 0 Load,2978584,1764659922069639,0.0
Global,CPU Core Load,CPU 0 Load,3029088,1764659922120143,0.0
Global,CPU Core Load,CPU 0 Load,3079567,1764659922170622,0.0
Global,CPU Core Load,CPU 0 Load,3130116,1764659922221171,0.0
Global,CPU Core Load,CPU 0 Load,3180811,1764659922271866,0.0
Global,CPU Core Load,CPU 0 Load,3231275,1764659922322330,144384000.0
Global,CPU Core Load,CPU 0 Load,3281757,1764659922372812,0.0
Global,CPU Core Load,CPU 0 Load,3332244,1764659922423299,0.0
Global,CPU Core Load,CPU 0 Load,3382672,1764659922473727,0.0
Global,CPU Core Load,CPU 0 Load,3432998,1764659922524053,144384000.0
Global,CPU Core Load,CPU 0 Load,3483305,1764659922574360,0.0
Global,CPU Core Load,CPU 0 Load,3533635,1764659922624690,180480000.0
Global,CPU Core Load,CPU 0 Load,3584171,1764659922675226,0.0
Global,CPU Core Load,CPU 0 Load,3634691,1764659922725746,0.0
Global,CPU Core Load,CPU 0 Load,3685265,1764659922776320,0.0
Global,CPU Core Load,CPU 0 Load,3735780,1764659922826835,144384000.0
Global,CPU Core Load,CPU 0 Load,3786299,1764659922877354,252672000.0
Global,CPU Core Load,CPU 0 Load,3836842,1764659922927897,0.0
Global,CPU Core Load,CPU 0 Load,3887336,1764659922978391,180480000.0
Global,CPU Core Load,CPU 0 Load,3937778,1764659923028833,144384000.0
Global,CPU Core Load,CPU 0 Load,3988210,1764659923079265,0.0
Global,CPU Core Load,CPU 0 Load,4038635,1764659923129690,0.0
Global,CPU Core Load,CPU 0 Load,4088937,1764659923179992,180480000.0
Global,CPU Core Load,CPU 0 Load,4139466,1764659923230521,0.0
Global,CPU Core Load,CPU 0 Load,4189985,1764659923281040,0.0
Global,CPU Core Load,CPU 0 Load,4240530,1764659923331585,0.0
Global,CPU Core Load,CPU 0 Load,4290985,1764659923382040,0.0
Global,CPU Core Load,CPU 0 Load,4341526,1764659923432581,0.0
Global,CPU Core Load,CPU 0 Load,4392048,1764659923483103,0.0
Global,CPU Core Load,CPU 0 Load,4442578,1764659923533633,0.0
Global,CPU Core Load,CPU 0 Load,4493060,1764659923584115,0.0
Global,CPU Core Load,CPU 0 Load,4543508,1764659923634563,144384000.0
Global,CPU Core Load,CPU 0 Load,4593888,1764659923684943,0.0
Global,CPU Core Load,CPU 0 Load,4644195,1764659923735250,0.0
Global,CPU Core Load,CPU 0 Load,4694597,1764659923785652,0.0
Global,CPU Core Load,CPU 0 Load,4745147,1764659923836202,144384000.0
Global,CPU Core Load,CPU 0 Load,4795720,1764659923886775,0.0
Global,CPU Core Load,CPU 0 Load,4846399,1764659923937454,0.0
Global,CPU Core Load,CPU 0 Load,4897034,1764659923988089,0.0
Global,CPU Core Load,CPU 0 Load,4947500,1764659924038555,0.0
Global,CPU Core Load,CPU 0 Load,4997989,1764659924089044,0.0
Global,CPU Core Load,CPU 0 Load,5048581,1764659924139636,0.0
Global,CPU Core Load,CPU 0 Load,5099191,1764659924190246,0.0
Global,CPU Core Load,CPU 0 Load,5149531,1764659924240586,0.0
Global,CPU Core Load,CPU 0 Load,5199929,1764659924290984,0.0
Global,CPU Core Load,CPU 0 Load,5250415,1764659924341470,0.0
