Process,Category,Metric,Timestamp,TimestampRaw,Value
Global,CPU Core Load,CPU 0 Load,0,1764640461311478,27840000.0
Global,CPU Core Load,CPU 0 Load,52504,1764640461363982,222720000.0
Global,CPU Core Load,CPU 0 Load,109235,1764640461420713,222720000.0
Global,CPU Core Load,CPU 0 Load,163435,1764640461474913,111360000.0
Global,CPU Core Load,CPU 0 Load,224359,1764640461535837,222720000.0
Global,CPU Core Load,CPU 0 Load,280768,1764640461592246,233856000.0
Global,CPU Core Load,CPU 0 Load,334891,1764640461646369,111360000.0
Global,CPU Core Load,CPU 0 Load,389132,1764640461700610,111360000.0
Global,CPU Core Load,CPU 0 Load,442779,1764640461754257,111360000.0
Global,CPU Core Load,CPU 0 Load,497949,1764640461809427,278400000.0
Global,CPU Core Load,CPU 0 Load,553497,1764640461864975,0.0
Global,CPU Core Load,CPU 0 Load,608329,1764640461919807,139200000.0
Global,CPU Core Load,CPU 0 Load,663645,1764640461975123,111360000.0
Global,CPU Core Load,CPU 0 Load,718508,1764640462029986,233856000.0
Global,CPU Core Load,CPU 0 Load,773267,1764640462084745,183744000.0
Global,CPU Core Load,CPU 0 Load,825028,1764640462136506,139200000.0
Global,CPU Core Load,CPU 0 Load,876926,1764640462188404,111360000.0
Global,CPU Core Load,CPU 0 Load,928707,1764640462240185,183744000.0
Global,CPU Core Load,CPU 0 Load,980481,1764640462291959,139200000.0
Global,CPU Core Load,CPU 0 Load,1032328,1764640462343806,0.0
Global,CPU Core Load,CPU 0 Load,1087141,1764640462398619,183744000.0
Global,CPU Core Load,CPU 0 Load,1143625,1764640462455103,222720000.0
Global,CPU Core Load,CPU 0 Load,1198229,1764640462509707,111360000.0
Global,CPU Core Load,CPU 0 Load,1253045,1764640462564523,0.0
Global,CPU Core Load,CPU 0 Load,1307661,1764640462619139,111360000.0
Global,CPU Core Load,CPU 0 Load,1361501,1764640462672979,902400000.0
Global,CPU Core Load,CPU 0 Load,1414200,1764640462725678,111360000.0
Global,CPU Core Load,CPU 0 Load,1465255,1764640462776733,139200000.0
